,Symbols,Multiplier,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
0,000622.SZ,14.839,30.6%,1383.9%,418.0%,0.34011281866860243,0.3519932696965282,0.11041246140955559,-87.0%,1.619774523817782,4.481985650119747,49.45434858976026,2475.079233417573,1.0239258508036708,-52.1%
1,000661.SZ,15.418,31.6%,1505.2%,45.4%,0.8327435318287832,0.4278802193375146,0.8665583521403577,-74.0%,1.1585080032029749,1.2445104068643935,0.09052749462983503,2.092825529520515,1.096639546833417,-5.6%
2,000733.SZ,22.179,36.3%,2185.8%,49.7%,0.8721886778765585,0.5125083196516051,0.6605827111946928,-70.9%,1.1680698084676906,1.3103027077177214,0.1131471042813176,2.004728260496548,1.200920200919057,-6.1%
3,002049.SZ,20.062,34.9%,1945.9%,52.4%,0.8322964892935546,0.5314442608140184,0.8232662170286669,-65.6%,1.1631325290169992,1.2555134923157858,0.14714600995957092,1.7095279161831272,1.0977882326980595,-6.4%
4,002129.SZ,12.019,28.2%,1124.7%,49.0%,0.7516745647931518,0.33730870605484736,0.5516877792248444,-83.5%,1.1563895656031375,1.1119938419445448,0.02468618300276252,2.3300051245548516,1.1598907825135638,-6.0%
5,002192.SZ,16.582,32.2%,1575.4%,57.4%,0.772070474024833,0.4287149672642543,0.5648267956280237,-75.1%,1.142051302654336,1.178095778355106,0.2463222445194461,0.9735497489489262,1.192445775416057,-7.1%
6,002240.SZ,15.327,31.1%,1435.9%,54.9%,0.7672453273567816,0.40927390781348705,0.360507195958742,-75.9%,1.1546045758132668,1.1471578626895556,0.11774684596780446,1.84811980532126,1.1665501049468379,-6.7%
7,002245.SZ,10.324,26.6%,981.5%,51.5%,0.7146537151962413,0.3493853387279252,0.42816005783701594,-76.1%,1.1341630888783627,1.0755960532571638,0.17788698417839588,1.9530755251091332,1.155830261981345,-6.3%
8,002271.SZ,20.276,35.8%,2095.1%,45.2%,0.9023750354368452,0.5876051986465667,0.9219799758969579,-60.9%,1.1671831850922847,1.3696903651377907,0.1429198514596265,1.6847150095849468,1.2325229491165743,-5.5%
9,002312.SZ,12.004,28.2%,1128.6%,52.1%,0.7364959127459109,0.30201165613327285,0.1151312081963855,-93.4%,1.1536666688263908,1.1208767011310978,0.2521156928940036,2.4317869355288693,1.2415365892439334,-6.4%
10,002371.SZ,19.898,34.7%,1916.2%,54.3%,0.8188036003672029,0.48405129377044653,0.8549667582561641,-71.6%,1.1559153501684336,1.2365572350705338,0.13754802416825918,1.4623229929222852,1.223304192249962,-6.7%
11,002432.SZ,10.182,26.2%,950.4%,58.4%,0.6896148626494183,0.29517222929923237,0.005645202047638173,-88.9%,1.1324958613194966,1.0445251918717704,0.2407369873960422,1.5880267327725193,1.3101883000853292,-7.2%
12,002459.SZ,13.149,29.1%,1222.3%,51.3%,0.7548066118021434,0.4339970830891366,0.5672618730882356,-67.2%,1.148466670287191,1.1219440957302658,0.08511815008672835,2.053974897114589,1.0796069740042897,-6.3%
13,002460.SZ,43.445,46.1%,4486.5%,56.6%,0.9521599892995086,0.6519971306665908,0.9071897499286079,-70.7%,1.1820276277358146,1.446540891198767,0.15432809663535577,1.2899408919822326,1.2521939345141622,-6.9%
14,002466.SZ,23.862,37.2%,2339.3%,58.2%,0.8332821202377475,0.5000040883481812,0.7536264973668986,-74.4%,1.1618342596598448,1.28507874235411,0.2759196981676061,1.2405946981954301,1.2817327538696206,-7.1%
15,002475.SZ,21.484,35.9%,2112.0%,48.5%,0.8731993655284027,0.6193778742642306,0.9381839650899075,-58.0%,1.1687272497765873,1.3468661763999603,0.8047994916989705,17.90956353515316,1.2482499082181706,-5.9%
16,002487.SZ,10.553,26.7%,987.5%,50.6%,0.7181945726705963,0.3221146861293484,0.29450828945536967,-82.8%,1.1401943146280593,1.1086583117761628,0.4218307975013357,2.315073601365441,1.196750098123899,-6.2%
17,002507.SZ,11.83,29.1%,1214.5%,41.4%,0.8227344842901538,0.5296510906408084,0.9337493303152723,-54.9%,1.1617618851719622,1.2613896244102187,0.2976647309087155,2.7585067671089183,1.2114952325480064,-5.1%
18,002555.SZ,10.415,27.8%,1088.3%,50.8%,0.735614734126792,0.38787177465100703,0.6763065255980735,-71.6%,1.1470599696379606,1.1192445156157085,0.26232428115653555,2.177089274537397,1.2281952653129087,-6.3%
19,002568.SZ,12.379,29.7%,1283.7%,52.3%,0.7576080332232444,0.3274400983922549,0.5417453254514003,-90.8%,1.1439078154947566,1.1650561025601158,0.3034724355219698,1.6344133209021132,1.2325282013024064,-6.4%
20,002594.SZ,14.784,30.8%,1408.6%,47.8%,0.800037249227107,0.5562405373541357,0.6890713907922928,-55.4%,1.1539103952195064,1.2408216080398309,0.37278782803492033,2.1030198989156377,1.306037837558233,-5.9%
21,002709.SZ,42.508,59.4%,4319.0%,59.7%,1.0782479602368613,0.7829199930705198,0.666388094108811,-75.9%,1.203367530965452,1.6847882376458245,0.25942249432557646,0.9159417933934644,1.3079811149956047,-7.3%
22,002714.SZ,27.128,51.7%,2834.8%,51.8%,1.061743746637072,0.9538962607497273,0.9331035215697604,-54.1%,1.2061174767165812,1.655952494941455,0.2599271783540136,1.4675792848750735,1.3299232664867198,-6.3%
23,002738.SZ,16.684,48.1%,1606.3%,59.4%,0.9575409828233288,0.7071364368424116,0.19249229469526402,-68.0%,1.1883772620678927,1.4563201431084505,0.16293281438135873,1.2678516535299433,1.2113515410562241,-7.3%
24,002747.SZ,15.61,48.6%,1509.3%,59.8%,0.9598971648411525,0.6677103856500746,0.45691343043491384,-72.7%,1.1878089898164232,1.4840493933745451,0.22928605915642955,1.2697085276174462,1.3357823767114274,-7.3%
25,002805.SZ,10.504,50.7%,957.7%,61.4%,0.9720437261127813,0.6233478732332592,0.0012454538795545098,-81.3%,1.1818994841189234,1.5285579652713452,0.37780029810813,0.9407601829616761,1.68299774915401,-7.5%
26,002812.SZ,25.439,80.0%,2522.8%,51.7%,1.3949427702499877,1.6217451669813026,0.8643269313401852,-49.3%,1.278603642468478,2.20671895306325,0.22777543699204036,1.3389695637152972,1.321505455423689,-6.2%
27,002821.SZ,10.636,55.5%,980.9%,47.4%,1.1676960766071687,1.013280353163978,0.8904226833590384,-54.8%,1.2226696613087344,1.8131921228851233,0.25330925670354465,1.534709121548227,1.1932411074003428,-5.8%
