Symbol,Multiplier,Industry
ABMD,13.562,Medical Devices
ACAD,12.694,Biotechnology
ACCD,13.455,Health Information Services
ADBE,12.813,Software—Infrastructure
ADUS,22.387,Medical Care Facilities
AEHR,12.712,Semiconductor Equipment & Materials
ALNY,16.842,Biotechnology
AMBA,10.802,Semiconductor Equipment & Materials
AMD,13.954,Semiconductors
AMEH,25.727,Medical Care Facilities
AMZN,11.865,Internet Retail
ARGX,16.473,Biotechnology
ASML,11.271,Semiconductor Equipment & Materials
AVGO,16.781,Semiconductors
AXON,17.579,Aerospace & Defense
AZPN,10.805,Software—Application
BLFS,19.729,Medical Instruments & Supplies
BNTX,10.471,Biotechnology
CAMT,14.045,Semiconductor Equipment & Materials
CAR,13.191,Rental & Leasing Services
CDNS,14.51,Software—Application
CELH,225.034,Beverages—Non-Alcoholic
CHDN,11.295,Gambling
CODA,25.51,Aerospace & Defense
CPSS,10.789,Credit Services
CSIQ,11.121,Solar
CTAS,10.6,Specialty Business Services
CWST,11.012,Waste Management
DXCM,31.581,Medical Devices
ENPH,26.599,Solar
ENSG,11.629,Medical Care Facilities
ENTG,10.577,Semiconductor Equipment & Materials
FCUV,22.84,Scientific & Technical Instruments
FIVN,11.929,Software—Infrastructure
FTNT,13.621,Software—Infrastructure
GDEN,10.865,Resorts & Casinos
GMAB,49.679,Biotechnology
HMNF,11.897,Banks—Regional
HSKA,12.859,Medical Devices
HTHT,10.886,Lodging
HZNP,18.99,Drug Manufacturers—General
IBCP,14.176,Banks—Regional
ICLR,12.548,Diagnostics & Research
IESC,16.308,Engineering & Construction
LHCG,12.026,Medical Care Facilities
LRCX,11.596,Semiconductor Equipment & Materials
MANH,11.352,Software—Application
MGPI,19.473,Beverages—Wineries & Distilleries
MPWR,25.266,Semiconductors
NBIX,11.401,Drug Manufacturers—Specialty & Generic
NFLX,16.945,Entertainment
NOVT,11.239,Scientific & Technical Instruments
NSSC,16.472,Security & Protection Services
NTES,10.343,Electronic Gaming & Multimedia
NVDA,43.188,Semiconductors
NVEE,15.161,Engineering & Construction
NVMI,11.996,Semiconductor Equipment & Materials
NXST,20.109,Entertainment
ODFL,14.126,Trucking
OMQS,45.833,Software—Application
OPNT,49.958,Biotechnology
OPRX,10.258,Health Information Services
OSBC,10.136,Banks—Regional
PATK,27.126,"Furnishings, Fixtures & Appliances"
PAYS,15.2,Software—Infrastructure
PLBC,14.342,Banks—Regional
PODD,11.434,Medical Devices
POOL,11.661,Industrial Distribution
PRPH,10.393,Drug Manufacturers—Specialty & Generic
PTSI,11.412,Trucking
REGN,10.475,Biotechnology
RGEN,46.4,Medical Instruments & Supplies
RILY,17.78,Financial Conglomerates
SAIA,21.478,Trucking
SANG,17.5,Software—Infrastructure
SEDG,13.221,Solar
SGEN,10.789,Biotechnology
SGML,10.384,Other Industrial Metals & Mining
SITM,12.541,Semiconductors
SLP,16.389,Health Information Services
SMMF,10.029,Banks—Regional
SNPS,11.252,Software—Infrastructure
SRPT,16.883,Biotechnology
SSNT,27.1,Software—Application
TCX,14.837,Software—Infrastructure
TSLA,119.911,Auto Manufacturers
TTD,13.917,Software—Application
TTGT,10.366,Internet Content & Information
TVTX,16.153,Biotechnology
VIVK,18.333,Oil & Gas E&P
ZIVO,15.077,Biotechnology
ZYXI,12.54,Medical Distribution